row1, row2, col1, col2, homogeneity, contrast, dissimilarity, entropy, mean, variance, std.Dev
256.000000, 512.000000, 3584.000000, 3840.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
256.000000, 512.000000, 3840.000000, 4096.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
512.000000, 768.000000, 1.000000, 256.000000, 0.672704, 1.144289, 0.735042, 3.160024, 5.609445, 9.803171, 3.131002 
512.000000, 768.000000, 256.000000, 512.000000, 0.707016, 0.915537, 0.640427, 2.955371, 5.867552, 10.157824, 3.187134 
512.000000, 768.000000, 512.000000, 768.000000, 0.690606, 0.983737, 0.679262, 2.964334, 5.990136, 10.579319, 3.252587 
512.000000, 768.000000, 768.000000, 1024.000000, 0.736297, 0.888543, 0.586925, 2.923709, 6.107429, 10.997357, 3.316226 
512.000000, 768.000000, 1024.000000, 1280.000000, 0.732912, 1.016856, 0.613220, 2.849827, 6.315099, 11.346043, 3.368389 
512.000000, 768.000000, 1280.000000, 1536.000000, 0.683878, 1.273513, 0.737430, 3.053008, 6.116716, 11.258282, 3.355336 
512.000000, 768.000000, 1536.000000, 1792.000000, 0.695020, 1.154988, 0.699796, 2.922807, 6.326939, 11.614365, 3.407986 
512.000000, 768.000000, 1792.000000, 2048.000000, 0.699372, 0.990333, 0.665461, 2.977509, 6.035886, 10.790956, 3.284959 
512.000000, 768.000000, 2048.000000, 2304.000000, 0.688574, 1.048197, 0.693048, 3.118248, 5.654852, 9.893781, 3.145438 
512.000000, 768.000000, 2304.000000, 2560.000000, 0.967607, 0.172285, 0.079599, 0.666205, 1.509165, 2.542078, 1.594390 
512.000000, 768.000000, 2560.000000, 2816.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
512.000000, 768.000000, 2816.000000, 3072.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
512.000000, 768.000000, 3072.000000, 3328.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
512.000000, 768.000000, 3328.000000, 3584.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
