X,Y,Computed_Area,Computed Perimeter,Border Index,Minimum Ellipse Ratio,Minimum Ellipse Rotation,Minimum Enclosing Circle,Compactness,Edge Count,homogeneity,contrast,dissimilarity,entropy,mean,variance,std.Dev
11.5,404.4,67.0,42.0,441.0,0.93192527946,3.69820141792,5.77389717102,0.477294117212,34.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
16.0,390.8,110.0,52.0,676.0,0.743299135329,42.3374671936,7.86113405228,0.511205911636,36.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
22.3,474.8,402.0,106.0,2809.0,0.57383362269,108.303764343,16.130273819,0.449597835541,70.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
18.9,491.7,72.0,60.0,840.0,0.366046189666,100.524429321,9.90622234344,0.251327425241,43.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
21.7,270.6,154.0,66.0,1089.0,0.5440435872,23.477640152,10.2613019943,0.444265633821,43.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
27.2,416.1,134.0,64.0,992.0,0.628983534869,49.8215408325,9.90622234344,0.411106854677,46.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
35.4,347.2,75.0,50.0,625.0,0.429422892147,38.7878646851,7.86113405228,0.376991122961,42.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
41.2,392.4,182.0,74.0,1369.0,0.753626252937,62.0558357239,10.4312906265,0.417655140162,59.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
45.6,311.5,38.0,54.0,675.0,0.333698300201,33.0670433044,8.77013397217,0.163759291172,33.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
45.6,333.8,72.0,50.0,625.0,0.460864682688,43.2748069763,7.60388374329,0.361911475658,41.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
45.7,436.9,41.0,36.0,324.0,0.494003351788,46.1675415039,5.57057714462,0.397547215223,30.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
48.5,456.1,93.0,50.0,625.0,0.607296828233,50.6375808716,7.86113405228,0.467469006777,36.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
47.7,367.0,29.0,36.0,306.0,0.634776199592,24.1330318451,5.3767580986,0.281191945076,31.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
51.8,401.6,61.0,48.0,576.0,0.37651978888,36.8760223389,7.86113405228,0.332703411579,39.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
