row1, row2, col1, col2, homogeneity, contrast, dissimilarity, entropy, mean
2816,3072,256,512,1,0,0,0,0.015625
2816,3072,512,768,1,0,0,0,0.015625
2816,3072,768,1024,1,0,0,0,0.015625
2816,3072,1024,1280,1,0,0,0,0.015625
2816,3072,1280,1536,1,0,0,0,0.015625
2816,3072,1536,1792,1,0,0,0,0.015625
2816,3072,1792,2048,1,0,0,0,0.015625
2816,3072,2048,2304,1,0,0,0,0.015625
2816,3072,2304,2560,1,0,0,0,0.015625
2816,3072,2560,2816,1,0,0,0,0.015625
2816,3072,2816,3072,1,0,0,0,0.015625
2816,3072,3072,3328,1,0,0,0,0.015625
2816,3072,3328,3584,1,0,0,0,0.015625
2816,3072,3584,3840,1,0,0,0,0.015625
2816,3072,3840,4096,1,0,0,0,0.015625
3072,3328,1,256,1,0,0,0,0.015625
3072,3328,256,512,1,0,0,0,0.015625
3072,3328,512,768,1,0,0,0,0.015625
3072,3328,768,1024,1,0,0,0,0.015625
3072,3328,1024,1280,1,0,0,0,0.015625
3072,3328,1280,1536,1,0,0,0,0.015625
3072,3328,1536,1792,1,0,0,0,0.015625
3072,3328,1792,2048,1,0,0,0,0.015625
3072,3328,2048,2304,1,0,0,0,0.015625
3072,3328,2304,2560,1,0,0,0,0.015625
3072,3328,2560,2816,1,0,0,0,0.015625
3072,3328,2816,3072,1,0,0,0,0.015625
3072,3328,3072,3328,1,0,0,0,0.015625
3072,3328,3328,3584,1,0,0,0,0.015625
3072,3328,3584,3840,1,0,0,0,0.015625
3072,3328,3840,4096,1,0,0,0,0.015625
3328,3584,1,256,1,0,0,0,0.015625
3328,3584,256,512,1,0,0,0,0.015625
3328,3584,512,768,1,0,0,0,0.015625
3328,3584,768,1024,1,0,0,0,0.015625
3328,3584,1024,1280,1,0,0,0,0.015625
3328,3584,1280,1536,1,0,0,0,0.015625
3328,3584,1536,1792,1,0,0,0,0.015625
3328,3584,1792,2048,1,0,0,0,0.015625
3328,3584,2048,2304,1,0,0,0,0.015625
3328,3584,2304,2560,1,0,0,0,0.015625
3328,3584,2560,2816,1,0,0,0,0.015625
3328,3584,2816,3072,1,0,0,0,0.015625
3328,3584,3072,3328,1,0,0,0,0.015625
3328,3584,3328,3584,1,0,0,0,0.015625
3328,3584,3584,3840,1,0,0,0,0.015625
3328,3584,3840,4096,1,0,0,0,0.015625
3584,3840,1,256,1,0,0,0,0.015625
3584,3840,256,512,1,0,0,0,0.015625
3584,3840,512,768,1,0,0,0,0.015625
3584,3840,768,1024,1,0,0,0,0.015625
3584,3840,1024,1280,1,0,0,0,0.015625
3584,3840,1280,1536,1,0,0,0,0.015625
3584,3840,1536,1792,1,0,0,0,0.015625
3584,3840,1792,2048,1,0,0,0,0.015625
3584,3840,2048,2304,1,0,0,0,0.015625
3584,3840,2304,2560,1,0,0,0,0.015625
3584,3840,2560,2816,1,0,0,0,0.015625
3584,3840,2816,3072,1,0,0,0,0.015625
3584,3840,3072,3328,1,0,0,0,0.015625
3584,3840,3328,3584,1,0,0,0,0.015625
3584,3840,3584,3840,1,0,0,0,0.015625
