X,Y
400.7,561.6
397.7,1042.5
398.3,1175.5
403.5,108.5
397.7,1789.9
397.9,434.8
398.4,685.8
399.4,1527.2
399.7,829.3
401.8,1009.9
401.4,1655.4
403.6,82.6
400.6,896.2
400.7,1161.3
400.6,269.5
401,304.6
404.6,162.1
404.3,247.6
404.4,1408.5
407.7,1328.1
407.5,916.6
418.8,934.9
407.3,1311.4
407.8,1277.6
413.2,1132.1
410.5,1291.6
412.9,1070.3
413.8,382.6
412.1,447.7
410.5,873
412.4,191
411.4,299.8
413.4,336.6
414.1,1354.1
411.8,824.1
416.1,1724.9
415.3,618.6
414.4,1791.6
415.7,263.4
422,990.2
414.3,1034.7
417.5,1827.5
420,59.3
424.7,141
419.2,233.1
419.7,962.9
420.7,324.1
417.9,580
420.4,1401.6
419.1,1703.5
421.5,413
425.1,1153.5
430.7,1474.5
427.2,1540.4
431,1585.6
432.4,594
433.3,201.2
437,1285.3
432.9,1713.2
433.5,626.2
440.9,716.3
435.8,1442.9
433.1,1730.4
432.1,1826
433.3,1009.7
434,1224.5
435.6,1390.8
439.1,962.8
437.2,346.1
435.9,1541.6
445.4,1095.7
438.1,1662.8
441.4,1756.5
441.9,1034.5
441.6,298.3
443.1,1107.1
442.1,1650.3
441.6,525.6
444.6,319.5
445.6,86.9
448,842.7
449.5,123.5
444.7,861.7
446.6,1213.1
446.9,565
451.6,1454.7
447.4,1183.8
452.1,1075.4
452.1,208.2
455.2,1145.3
451.7,1601.2
451,823.7
453.9,1311.2
456.1,252.5
460.1,1288.1
454.2,422.6
453.6,611.5
463.4,57.4
455.8,293.8
453.2,552.7
457,584.4
457.3,1719.4
457.9,1814.3
458.2,693.5
456.6,1214.2
458.9,1655.1
464,1684.6
459.1,630.2
462.6,1434
457.7,1329.1
462.2,1850
460.3,459.2
460,471.5
462.1,1473.3
465.1,1754.1
464.8,407.1
482.4,16.1
470.9,861.8
468.1,307.6
468,1361.9
474.7,1183.9
470,1722
469.4,1068.9
470.3,1235.2
470.7,1558.1
481.6,1033.3
472.2,1138.7
472.4,1574.8
470.4,1826.4
472.6,1386.6
472,1462
469.8,1535.2
472.7,1706.3
474.2,1022.1
473.9,435.5
477.4,1082.1
472.5,744
476.9,1636.2
481.5,1263.4
479.5,1282.4
478.9,1319.2
480.4,39
479.8,265.6
483.2,1043.4
483.5,470.1
485.5,941.8
486.5,1002.7
